Data,Arquivo,Publicação,UF,Outras informações,Imagem,Onde está,Destaque,Tipo,Assunto,Complemento,Localização,Interesse,Outras informações
1978.04.04,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4235845.png,"Rezas de Sol para a Missa do Vaqueiro, primeira linha, primeira coluna",4235845h.png,Teatro,Missa do Vaqueiro,Propaganda,"Auditório MEC-Funarte – Alameda Nothmann, 1058, Campos Elísios, São Paulo, SP",Baixo,
1978.04.05,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4236046.png,"Rezas de Sol para a Missa do Vaqueiro, primeira linha, segunda coluna",4236046h.png,Teatro,Missa do Vaqueiro,Propaganda,"Auditório MEC-Funarte – Alameda Nothmann, 1058, Campos Elísios, São Paulo, SP",Baixo,
1978.04.07,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4236488.png,"Teatro, Rezas de Sol para a Missa do Vaqueiro, em cima da imagem “Quebrada!”",4236488h.png,Teatro,Missa do Vaqueiro,,"Auditório MEC-Funarte – Alameda Nothmann, 1058, Campos Elísios, São Paulo, SP",Baixo,
1978.04.07,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4236505.png,"Rezas de Sol para a Missa do Vaqueiro, setima linha, segunda coluna",4236505h.png,Teatro,Missa do Vaqueiro,Propaganda,"Auditório MEC-Funarte – Alameda Nothmann, 1058, Campos Elísios, São Paulo, SP",Baixo,
1978.04.13,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4237908.png,"Teatro, Rezas de Sol para a Missa do Vaqueiro, em cima da imagem “O Ultimo”",4237908h.png,Teatro,Missa do Vaqueiro,,"Auditório MEC-Funarte – Alameda Nothmann, 1058, Campos Elísios, São Paulo, SP",Baixo,
1978.04.16,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Primeiro Caderno,4306754.png,"Rezas de Sol para a Missa do Vaqueiro, quarta linha, terceira coluna",4306754h.png,Teatro,Missa do Vaqueiro,Propaganda,"Auditório MEC-Funarte – Alameda Nothmann, 1058, Campos Elísios, São Paulo, SP",Baixo,
1978.04.21,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Primeiro Caderno,4308822.png,"Rezas de Sol para a Missa do Vaqueiro, quarta linha, segunda coluna",4308822h.png,Teatro,Missa do Vaqueiro,Propaganda,"Auditório MEC-Funarte – Alameda Nothmann, 1058, Campos Elísios, São Paulo, SP",Baixo,
1978.04.27,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Primeiro Caderno,4311244.png,Rezas de Sol para a Missa do Vaqueiro,4311244h.png,Teatro,Missa do Vaqueiro,Propaganda,"Auditório MEC-Funarte – Alameda Nothmann, 1058, Campos Elísios, São Paulo, SP",Baixo,
1978.04.30,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Primeiro Caderno,4312446.png,Rezas de Sol para a Missa do Vaqueiro,4312446h.png,Teatro,Missa do Vaqueiro,Propaganda,"Auditório MEC-Funarte – Alameda Nothmann, 1058, Campos Elísios, São Paulo, SP",Baixo,
1978.05.05,Hemeroteca da Biblioteca Nacional,Jornal do Brasil,RJ,Edição 00027 (1),I0179512-20Alt=002777Lar=001884LargOri=004463AltOri=006581.JPG,"Teatro, Rezas de sol para a missa do vaqueiro",I0179512.png,Teatro,Missa do Vaqueiro,,"Auditório MEC-Funarte – Alameda Nothmann, 1058, Campos Elísios, São Paulo, SP",Baixo,
1978.05.07,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4241229.png,Rezas de Sol para a Missa do Vaqueiro,4241229h.png,Teatro,Missa do Vaqueiro,Propaganda,"Auditório MEC-Funarte – Alameda Nothmann, 1058, Campos Elísios, São Paulo, SP",Baixo,
1978.05.10,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4241540.png,Rezas de Sol para a Missa do Vaqueiro,4241540h.png,Teatro,Missa do Vaqueiro,Propaganda,"Auditório MEC-Funarte – Alameda Nothmann, 1058, Campos Elísios, São Paulo, SP",Baixo,
1978.05.13,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4241848.png,Rezas de Sol para a Missa do Vaqueiro,4241848h.png,Teatro,Missa do Vaqueiro,Propaganda,"Auditório MEC-Funarte – Alameda Nothmann, 1058, Campos Elísios, São Paulo, SP",Baixo,
1978.05.18,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4316296.png,Rezas de Sol para a Missa do Vaqueiro,4316296h.png,Teatro,Missa do Vaqueiro,Propaganda,"Auditório MEC-Funarte – Alameda Nothmann, 1058, Campos Elísios, São Paulo, SP",Baixo,
1978.05.19,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4316499.png,Rezas de Sol para a Missa do Vaqueiro,4316499h.png,Teatro,Missa do Vaqueiro,Propaganda,"Auditório MEC-Funarte – Alameda Nothmann, 1058, Campos Elísios, São Paulo, SP",Baixo,
1978.05.20,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4316636.png,Rezas de Sol para a Missa do Vaqueiro,4316636h.png,Teatro,Missa do Vaqueiro,Propaganda,"Auditório MEC-Funarte – Alameda Nothmann, 1058, Campos Elísios, São Paulo, SP",Baixo,
1978.05.25,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4317659.png,Rezas de Sol para a Missa do Vaqueiro,4317659h.png,Teatro,Missa do Vaqueiro,Propaganda,"Auditório MEC-Funarte – Alameda Nothmann, 1058, Campos Elísios, São Paulo, SP",Baixo,
1978.05.26,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4317817.png,Rezas de Sol para a Missa do Vaqueiro,4317817h.png,Teatro,Missa do Vaqueiro,Propaganda,"Auditório MEC-Funarte – Alameda Nothmann, 1058, Campos Elísios, São Paulo, SP",Baixo,
1978.05.27,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4317949.png,Rezas de Sol para a Missa do Vaqueiro,4317949h.png,Teatro,Missa do Vaqueiro,Propaganda,"Auditório MEC-Funarte – Alameda Nothmann, 1058, Campos Elísios, São Paulo, SP",Baixo,
1978.05.28,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4318186.png,Rezas de Sol para a Missa do Vaqueiro,4318186h.png,Teatro,Missa do Vaqueiro,Propaganda,"Auditório MEC-Funarte – Alameda Nothmann, 1058, Campos Elísios, São Paulo, SP",Baixo,
1978.06.05,Hemeroteca da Biblioteca Nacional,Tribuna da Imprensa,RJ,Edição 08767,I0031495-2Alt=002269Lar=001884LargOri=004746AltOri=005717.JPG,"Síntese, Missa do Vaqueiro, 2a. coluna.",I0031495.png,Teatro,Missa do Vaqueiro,,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.06.05,Hemeroteca da Biblioteca Nacional,Jornal do Brasil,RJ,Edição 00058 (1),I0181222-20Alt=002781Lar=001884LargOri=004559AltOri=006730.JPG,"Teatro, Os primeiros “mambembáveis” do ano, terceira coluna",I0181222.png,Teatro,Missa do Vaqueiro,,,Baixo,
1978.06.07,Hemeroteca da Biblioteca Nacional,Diario de Pernambuco,PE,Edição 00152,I0118616-2Alt=003033Lar=001884LargOri=004105AltOri=006609.JPG,"Cena Aberta, “Missa do Vaqueiro” estréia no Rio, 1a. coluna, 4o. parágrafo.",I0118616.png,Teatro,Missa do Vaqueiro,Estreia no Rio. Irene citada como responsável da direção musical. Eliane Estevão no elenco.,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Médio,
1978.06.09,Hemeroteca da Biblioteca Nacional,Jornal do Brasil,RJ,Edição 00062 (1),I0181400-20Alt=002746Lar=001884LargOri=004559AltOri=006646.JPG,"A Próxima semana, Missa nordestina lança teatro na Funarte, penúltimo parágrafo",I0181400.png,Teatro,Missa do Vaqueiro,Descrição bacana da peça.,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Médio,
1978.06.10,Hemeroteca da Biblioteca Nacional,Jornal do Brasil,RJ,Edição 00063 (1),I0181450-20Alt=002813Lar=001884LargOri=004499AltOri=006719.JPG,"Agenda, último item da primeira coluna, ela aparece na segunda",I0181450.png,Teatro,Missa do Vaqueiro,,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.06.15,Hemeroteca da Biblioteca Nacional,Jornal do Brasil,RJ,Edição 00068 (1),I0181722-20Alt=002753Lar=001884LargOri=004582AltOri=006698.JPG,"Teatro, primeiro item",I0181722.png,Teatro,Missa do Vaqueiro,Estreia no Rio. Irene citada como responsável da direção musical. Eliane Estevão no elenco.,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Médio,
1978.06.16,Hemeroteca da Biblioteca Nacional,Jornal do Brasil,RJ,Edição 00069 (2),I0181768-A0Alt=003024Lar=002022LargOri=004494AltOri=006721.JPG,"Missa rezada na Funarte, último parágrafo",I0181768.png,Teatro,Missa do Vaqueiro,"Sobre a estreia no Rio. Descrição muito legal da peça, inclusive citando alguns versos de músicas.","Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Médio,
1978.06.16,Hemeroteca da Biblioteca Nacional,Jornal do Brasil,RJ,Edição 00069 (2),I0181771-A0Alt=003024Lar=002022LargOri=004495AltOri=006719.JPG,"Teatro, começo da terceira coluna",I0181771.png,Teatro,Missa do Vaqueiro,Anúncio.,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.06.17,Hemeroteca da Biblioteca Nacional,Jornal do Brasil,RJ,Edição 00070 (2),I0181824-A0Alt=002985Lar=002012LargOri=004469AltOri=006632.JPG,"Teatro, primeiro item",I0181824.png,Teatro,Missa do Vaqueiro,Anúncio.,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.06.18,Hemeroteca da Biblioteca Nacional,Jornal do Brasil,RJ,Edição 00071 (1),I0181874-A0Alt=002990Lar=002016LargOri=004480AltOri=006644.JPG,"Teatro, primeiro item",I0181874.png,Teatro,Missa do Vaqueiro,Anúncio.,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.06.20,Hemeroteca da Biblioteca Nacional,Jornal do Brasil,RJ,Edição 00073 (2),I0182004-A0Alt=003015Lar=002018LargOri=004482AltOri=006700.JPG,"Teatro, vaqueiros conservadores, primeiro parágrafo",I0182004.png,Teatro,Missa do Vaqueiro,Crítica do espetáculo.,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Alto,
1978.06.20,Hemeroteca da Biblioteca Nacional,Jornal do Brasil,RJ,Edição 00073 (2),I0182005-A0Alt=003015Lar=002018LargOri=004482AltOri=006700.JPG,"Teatro, primeiro item",I0182005.png,Teatro,Missa do Vaqueiro,Anúncio.,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.06.21,Hemeroteca da Biblioteca Nacional,Diario de Pernambuco,PE,Edição 00166,I0119304-2Alt=003012Lar=001884LargOri=004124AltOri=006593.JPG,"Cena Aberta, “Missa do Vaqueiro” estréia no Rio, 1a. coluna, 3o. parágrafo.",I0119304.png,Teatro,Missa do Vaqueiro,Irene citada como responsável da direção musical. Eliane Estevão no elenco.,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.06.21,Hemeroteca da Biblioteca Nacional,Jornal do Brasil,RJ,Edição 00074 (1),I0182050-A0Alt=003014Lar=002024LargOri=004498AltOri=006697.JPG,"Teatro, primeiro item",I0182050.png,Teatro,Missa do Vaqueiro,Anúncio.,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.06.22,Hemeroteca da Biblioteca Nacional,Jornal do Brasil,RJ,Edição 00074 (1),I0182091-A0Alt=002986Lar=002022LargOri=004493AltOri=006637.JPG,"Teatro, segundo item",I0182091.png,Teatro,Missa do Vaqueiro,Anúncio.,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.06.23,Hemeroteca da Biblioteca Nacional,Jornal do Brasil,RJ,Edição 00076 (1),I0182134-A0Alt=003003Lar=002022LargOri=004492AltOri=006672.JPG,"Teatro, segundo item",I0182134.png,Teatro,Missa do Vaqueiro,Anúncio.,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.06.24,Hemeroteca da Biblioteca Nacional,Jornal do Brasil,RJ,Edição 00077 (1),I0182191-A0Alt=002985Lar=001995LargOri=004432AltOri=006632.JPG,"Teatro, segundo item",I0182191.png,Teatro,Missa do Vaqueiro,Anúncio.,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.06.26,Hemeroteca da Biblioteca Nacional,O Fluminense,RJ,Edição 02529,I0056156-2Alt=002714Lar=001884LargOri=003933AltOri=005666.JPG,"Teatro, Rio, Rezas de Sol para a Missa do Vaqueiro.",I0056156.png,Teatro,Missa do Vaqueiro,,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.06.27,Hemeroteca da Biblioteca Nacional,O Fluminense,RJ,Edição 02526,I0056208-2Alt=002721Lar=001884LargOri=003900AltOri=005633.JPG,"Teatro, Rio, Rezas de Sol para a Missa do Vaqueiro.",I0056208.png,Teatro,Missa do Vaqueiro,,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.06.27,Hemeroteca da Biblioteca Nacional,Jornal do Brasil,RJ,Edição 00080 (1),I0182375-A0Alt=003006Lar=002038LargOri=004531AltOri=006681.JPG,"Teatro, segundo item",I0182375.png,Teatro,Missa do Vaqueiro,Anúncio.,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.06.28,Hemeroteca da Biblioteca Nacional,Jornal do Brasil,RJ,Edição 00081 (1),I0182414-A0Alt=003003Lar=002019LargOri=004485AltOri=006674.JPG,"Teatro, terceiro item",I0182414.png,Teatro,Missa do Vaqueiro,Anúncio.,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.06.29,Hemeroteca da Biblioteca Nacional,O Fluminense,RJ,Edição 02528,I0056254-2Alt=002694Lar=001884LargOri=003941AltOri=005633.JPG,"Teatro, Rio, Rezas de Sol para a Missa do Vaqueiro.",I0056254.png,Teatro,Missa do Vaqueiro,,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.06.29,Hemeroteca da Biblioteca Nacional,Jornal do Brasil,RJ,Edição 00082 (1),I0182461-A0Alt=003012Lar=002022LargOri=004492AltOri=006695.JPG,"Teatro, terceiro item",I0182461.png,Teatro,Missa do Vaqueiro,Anúncio.,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.06.30,Hemeroteca da Biblioteca Nacional,O Fluminense,RJ,Edição 02530B,I0056297-2Alt=002694Lar=001884LargOri=003941AltOri=005633.JPG,"Teatro, Rio, Rezas de Sol para a Missa do Vaqueiro.",I0056297.png,Teatro,Missa do Vaqueiro,,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.06.30,Hemeroteca da Biblioteca Nacional,Jornal do Brasil,RJ,Edição 00083 (1),I0182510-20Alt=002809Lar=001884LargOri=004492AltOri=006701.JPG,"Teatro, primeira coluna, Rezas de sol…",I0182510.png,Teatro,Missa do Vaqueiro,Anúncio.,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.07.01,Hemeroteca da Biblioteca Nacional,Jornal do Brasil,RJ,Edição 00084 (1),I0182564-20Alt=002789Lar=001884LargOri=004469AltOri=006618.JPG,"Teatro, primeira coluna, Rezas de sol…",I0182564.png,Teatro,Missa do Vaqueiro,Anúncio.,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.07.03,Hemeroteca da Biblioteca Nacional,O Fluminense,RJ,Edição 02531,I0056368-2Alt=002658Lar=001884LargOri=004006AltOri=005653.JPG,"Teatro, Rio, Rezas de Sol para a Missa do Vaqueiro.",I0056368.png,Teatro,Missa do Vaqueiro,,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.07.04,Hemeroteca da Biblioteca Nacional,Diario de Pernambuco,PE,Edição 00179,I0119934-2Alt=003021Lar=001884LargOri=004096AltOri=006569.JPG,"Opinião, Rezas de Sol, 2a. coluna.",I0119934.png,Teatro,Missa do Vaqueiro,Diz que a Irene era pernambucana.,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.07.04,Hemeroteca da Biblioteca Nacional,Jornal do Brasil,RJ,Edição 00087 (1),I0182751-20Alt=002767Lar=001884LargOri=004558AltOri=006694.JPG,"Teatro, primeira coluna, Rezas de sol…",I0182751.png,Teatro,Missa do Vaqueiro,Anúncio.,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.07.05,Hemeroteca da Biblioteca Nacional,O Fluminense,RJ,Edição 02533,I0056422-2Alt=002665Lar=001884LargOri=003996AltOri=005654.JPG,"Teatro, Rio, Rezas de Sol para a Missa do Vaqueiro.",I0056422.png,Teatro,Missa do Vaqueiro,,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.07.05,Hemeroteca da Biblioteca Nacional,Jornal do Brasil,RJ,Edição 00088 (1),I0182795-20Alt=002794Lar=001884LargOri=004483AltOri=006650.JPG,"Teatro, primeira coluna, Rezas de sol…",I0182795.png,Teatro,Missa do Vaqueiro,Anúncio.,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.07.06,Hemeroteca da Biblioteca Nacional,O Fluminense,RJ,Edição 02533 (2),I0056442-2Alt=002665Lar=001884LargOri=003996AltOri=005654.JPG,"Teatro, Rio, Rezas de Sol para a Missa do Vaqueiro.",I0056442.png,Teatro,Missa do Vaqueiro,,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.07.06,Hemeroteca da Biblioteca Nacional,Jornal do Brasil,RJ,Edição 00089 (1),I0182834-20Alt=002793Lar=001884LargOri=004483AltOri=006647.JPG,"Teatro, primeira coluna, Rezas de sol…",I0182834.png,Teatro,Missa do Vaqueiro,Anúncio.,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.07.07,Hemeroteca da Biblioteca Nacional,Jornal do Brasil,RJ,Edição 00090 (1),I0182878-20Alt=002758Lar=001884LargOri=004504AltOri=006592.JPG,"Teatro, quinta coluna, Rezas de sol…",I0182878.png,Teatro,Missa do Vaqueiro,Anúncio.,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.07.08,Hemeroteca da Biblioteca Nacional,O Fluminense,RJ,Edição 02536,I0056508-2Alt=002661Lar=001884LargOri=004002AltOri=005652.JPG,"Teatro, Rio, Rezas de Sol para a Missa do Vaqueiro.",I0056508.png,Teatro,Missa do Vaqueiro,,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.07.08,Hemeroteca da Biblioteca Nacional,Jornal do Brasil,RJ,Edição 00091 (1),I0182916-20Alt=002765Lar=001884LargOri=004545AltOri=006674.JPG,"Teatro, segunda coluna, Rezas de sol…",I0182916.png,Teatro,Missa do Vaqueiro,Anúncio.,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.07.10,Hemeroteca da Biblioteca Nacional,O Fluminense,RJ,Edição 02537,I0056552-2Alt=002658Lar=001884LargOri=004005AltOri=005654.JPG,"Teatro, Rio, Rezas de Sol para a Missa do Vaqueiro.",I0056552.png,Teatro,Missa do Vaqueiro,,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.07.11,Hemeroteca da Biblioteca Nacional,Jornal do Brasil,RJ,Edição 00094 (1),I0183097-20Alt=002775Lar=001884LargOri=004517AltOri=006654.JPG,"Teatro, segunda coluna, Rezas de sol…",I0183097.png,Teatro,Missa do Vaqueiro,Anúncio.,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.07.12,Hemeroteca da Biblioteca Nacional,O Fluminense,RJ,Edição 02539,I0056608-2Alt=002678Lar=001884LargOri=003993AltOri=005678.JPG,"Teatro, Rio, Rezas de Sol para a Missa do Vaqueiro.",I0056608.png,Teatro,Missa do Vaqueiro,,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.07.12,Hemeroteca da Biblioteca Nacional,O Fluminense,RJ,Edição 02540,I0056628-2Alt=002677Lar=001884LargOri=004000AltOri=005684.JPG,"Teatro, Rio, Rezas de Sol para a Missa do Vaqueiro.",I0056628.png,Teatro,Missa do Vaqueiro,,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.07.12,Hemeroteca da Biblioteca Nacional,Jornal do Brasil,RJ,Edição 00095 (1),I0183137-20Alt=002800Lar=001884LargOri=004477AltOri=006654.JPG,"Teatro, segunda coluna, Rezas de sol…",I0183137.png,Teatro,Missa do Vaqueiro,Anúncio.,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.07.13,Hemeroteca da Biblioteca Nacional,Jornal do Brasil,RJ,Edição 00096 (1),I0183173-20Alt=002762Lar=001884LargOri=004525AltOri=006637.JPG,"Teatro, primeiro coluna, Rezas de sol…",I0183173.png,Teatro,Missa do Vaqueiro,Anúncio.,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.07.14,Hemeroteca da Biblioteca Nacional,Jornal do Brasil,RJ,Edição 00097 (1),I0183219-20Alt=002785Lar=001884LargOri=004491AltOri=006637.JPG,"Teatro, segunda coluna, Rezas de sol…",I0183219.png,Teatro,Missa do Vaqueiro,Anúncio.,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.07.15,Hemeroteca da Biblioteca Nacional,O Fluminense,RJ,Edição 02542,I0056696-2Alt=002665Lar=001884LargOri=004008AltOri=005667.JPG,"Teatro, Rio, Rezas de Sol para a Missa do Vaqueiro.",I0056696.png,Teatro,Missa do Vaqueiro,,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.07.15,Hemeroteca da Biblioteca Nacional,Jornal do Brasil,RJ,Edição 00098 (1),I0183256-20Alt=002766Lar=001884LargOri=004518AltOri=006630.JPG,"Teatro, segunda coluna, Rezas de sol…",I0183256.png,Teatro,Missa do Vaqueiro,Anúncio.,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.07.18,Hemeroteca da Biblioteca Nacional,Jornal do Brasil,RJ,Edição 00101 (1),I0183458-20Alt=002798Lar=001884LargOri=004485AltOri=006663.JPG,"Teatro, primeira coluna, Rezas de sol…",I0183458.png,Teatro,Missa do Vaqueiro,Anúncio.,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.07.19,Hemeroteca da Biblioteca Nacional,Jornal do Brasil,RJ,Edição 00102 (1),I0183499-20Alt=002827Lar=001884LargOri=004444AltOri=006666.JPG,"Teatro, primeira coluna, Rezas de sol…",I0183499.png,Teatro,Missa do Vaqueiro,Anúncio.,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.07.20,Hemeroteca da Biblioteca Nacional,Jornal do Brasil,RJ,Edição 00103 (1),I0183542-20Alt=002827Lar=001884LargOri=004437AltOri=006656.JPG,"Teatro, primeira coluna, Rezas de sol…",I0183542.png,Teatro,Missa do Vaqueiro,Anúncio.,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.07.21,Hemeroteca da Biblioteca Nacional,Jornal do Brasil,RJ,Edição 00104 (1),I0183583-20Alt=002825Lar=001884LargOri=004437AltOri=006652.JPG,"Teatro, primeira coluna, Rezas de sol…",I0183583.png,Teatro,Missa do Vaqueiro,Anúncio.,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.07.22,Hemeroteca da Biblioteca Nacional,Jornal do Brasil,RJ,Edição 00105 (1),I0183621-20Alt=002818Lar=001884LargOri=004458AltOri=006667.JPG,"Teatro, primeira coluna, Rezas de sol…",I0183621.png,Teatro,Missa do Vaqueiro,Anúncio.,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.07.25,Hemeroteca da Biblioteca Nacional,Jornal do Brasil,RJ,Edição 00108 (1),I0183818-20Alt=002822Lar=001884LargOri=004478AltOri=006707.JPG,"Teatro, quarta coluna, Rezas de sol…",I0183818.png,Teatro,Missa do Vaqueiro,Anúncio.,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.07.26,Hemeroteca da Biblioteca Nacional,Jornal do Brasil,RJ,Edição 00109 (1),I0183860-20Alt=002811Lar=001884LargOri=004478AltOri=006679.JPG,"Teatro, quarta coluna, Rezas de sol…",I0183860.png,Teatro,Missa do Vaqueiro,Anúncio.,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.07.27,Hemeroteca da Biblioteca Nacional,Jornal do Brasil,RJ,Edição 00110 (1),I0183904-20Alt=002812Lar=001884LargOri=004465AltOri=006667.JPG,"Teatro, quarta coluna, Rezas de sol…",I0183904.png,Teatro,Missa do Vaqueiro,Anúncio.,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
1978.07.28,Hemeroteca da Biblioteca Nacional,Jornal do Brasil,RJ,Edição 00111 (1),I0183954-20Alt=002806Lar=001884LargOri=004478AltOri=006666.JPG,"Teatro, quarta coluna, Rezas de sol…",I0183954.png,Teatro,Missa do Vaqueiro,Anúncio.,"Sala Funarte Sidney Miller - Rua da Imprensa, 16, Centro, Rio de Janeiro, RJ",Baixo,
