Data,Arquivo,Publicação,UF,Outras informações,Imagem,Onde está,Destaque,Tipo,Assunto,Complemento,Localização,Interesse,Outras informações
1975.06.14,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4351532.png,"Roteiro, Infantis, antepenúltimo item",4351532h.png,Teatro,O Mais Belo dos Paraísos,Coreografia de Luis Carlos Nogueira,"Sala do Meio, Teatro Ruth Escobar - Rua dos Ingleses, 209, Bela Vista, São Paulo, SP",Baixo,
1975.06.15,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Primeiro Caderno,4351730.png,"Roteiro, Infantis, penúltimo item",4351730h.png,Teatro,O Mais Belo dos Paraísos,Coreografia de Luis Carlos Nogueira,"Sala do Meio, Teatro Ruth Escobar - Rua dos Ingleses, 209, Bela Vista, São Paulo, SP",Baixo,
1975.06.21,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4402266.png,"Roteiro, Infantis, penúltimo item",4402266h.png,Teatro,O Mais Belo dos Paraísos,Coreografia de Luis Carlos Nogueira,"Sala do Meio, Teatro Ruth Escobar - Rua dos Ingleses, 209, Bela Vista, São Paulo, SP",Baixo,
1975.06.22,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4402657.png,"Roteiro, Infantis, penúltimo item",4402657h.png,Teatro,O Mais Belo dos Paraísos,Coreografia de Luis Carlos Nogueira,"Sala do Meio, Teatro Ruth Escobar - Rua dos Ingleses, 209, Bela Vista, São Paulo, SP",Baixo,
1975.06.28,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Primeiro Caderno,4404140.png,"Terceira coluna geral, antepenultimo item",4404140h.png,Teatro,O Mais Belo dos Paraísos,Coreografia de Luis Carlos Nogueira,"Sala do Meio, Teatro Ruth Escobar - Rua dos Ingleses, 209, Bela Vista, São Paulo, SP",Baixo,
1975.06.29,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4404570.png,"Segunda coluna geral, penultimo item",4404570h.png,Teatro,O Mais Belo dos Paraísos,Coreografia de Luis Carlos Nogueira,"Sala do Meio, Teatro Ruth Escobar - Rua dos Ingleses, 209, Bela Vista, São Paulo, SP",Baixo,
1975.07.05,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4354612.png,"Terceira coluna geral, antepenultimo item",4354612h.png,Teatro,O Mais Belo dos Paraísos,Coreografia de Luis Carlos Nogueira,"Sala do Meio, Teatro Ruth Escobar - Rua dos Ingleses, 209, Bela Vista, São Paulo, SP",Baixo,
1975.07.06,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4355374.png,"Terceira coluna geral, antepenultimo item",4355374h.png,Teatro,O Mais Belo dos Paraísos,Coreografia de Luis Carlos Nogueira,"Sala do Meio, Teatro Ruth Escobar - Rua dos Ingleses, 209, Bela Vista, São Paulo, SP",Baixo,
1975.08.23,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Primeiro Caderno,4407629.png,"Roteiro, Infantis, segundo item",4407629h.png,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",Baixo,
1975.08.24,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Primeiro Caderno,4407964.png,"Roteiro, Infantis, segundo item",4407964h.png,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",Baixo,
