Data,Arquivo,Publicação,UF,Outras informações da publicação,Tipo,Assunto,Complemento,Localização,Recorte,Interesse,Imagem original,Onde está,Mais
1974.03.14,Hemeroteca da Biblioteca Nacional,Diário do Paraná: Orgao dos Diários Associados,PR,Edição 05610,Teatro,Três dias para Donana e O tratado das tortazinhas,,"Teatro Guaíra - Rua XV de Novembro, 971, Centro, Curitiba, PR",I0096876.png,Baixo,I0096876-2Alt=002572Lar=001884LargOri=004487AltOri=006126.JPG,"O bom teatro, Guaira.",
1974.03.17,Hemeroteca da Biblioteca Nacional,Diário do Paraná: Orgao dos Diários Associados,PR,Edição 05613,Teatro,Três dias para Donana e O tratado das tortazinhas,,"Teatro Guaíra - Rua XV de Novembro, 971, Centro, Curitiba, PR",I0096924.png,Baixo,I0096924-2Alt=002570Lar=001884LargOri=004468AltOri=006096.JPG,"O bom teatro, Guaira.",
1974.03.18,Hemeroteca da Biblioteca Nacional,Diario da Tarde,PR,Edição 22191,Teatro,Três dias para Donana,,"Teatro Guaíra - Rua XV de Novembro, 971, Centro, Curitiba, PR",I0129958.png,Baixo,I0129958-2Alt=002624Lar=001884LargOri=004200AltOri=005849.JPG,"Atrações, Teatro.",
1974.03.21,Hemeroteca da Biblioteca Nacional,Diário do Paraná: Orgao dos Diários Associados,PR,Edição 05616,Teatro,Três dias para Donana e O tratado das tortazinhas,,"Teatro Guaíra - Rua XV de Novembro, 971, Centro, Curitiba, PR",I0096980.png,Baixo,I0096980-2Alt=002561Lar=001884LargOri=004483AltOri=006093.JPG,"O bom teatro, Guaira.",
1974.06.09,Hemeroteca da Biblioteca Nacional,Jornal do Brasil,RJ,Edição 00062 (1),Show,"Exposição “Sou João, Sou António e Sou Pedro” de Flávio Império",Músicas por Pini e Irene,,I0106094.png,Baixo,I0106094-20Alt=002777Lar=001884LargOri=004507AltOri=006644.JPG,"Noites cariocas X paulista, último parágrafo, Pini e Irene",http://www.flavioimperio.com.br/projeto/507669
1974.05.31,Flavio Imperio,Site,,,Show,"Exposição “Sou João, Sou António e Sou Pedro” de Flávio Império",Som Irene e Pini,"Centro de Estudos Macunaima – Rua Camilo, 91, Vila Romana, São Paulo, SP",c_0h.png,Médio,c_0.png,"Cartaz, no centro",http://www.flavioimperio.com.br/projeto/507669
1975.06.07,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,Teatro,O Mais Belo dos Paraísos,"Coreografia de Luis Carlos Nogueira, 1o tipo do anuncio","Sala do Meio, Teatro Ruth Escobar - Rua dos Ingleses, 209, Bela Vista, São Paulo, SP",4350387h.png,Baixo,4350387.png,"Roteiro, Infantis, último item",
1975.06.08,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,Teatro,O Mais Belo dos Paraísos,Coreografia de Luis Carlos Nogueira,"Sala do Meio, Teatro Ruth Escobar - Rua dos Ingleses, 209, Bela Vista, São Paulo, SP",4350607h.png,Baixo,4350607.png,"Roteiro, Infantis, penúltimo item da 1a coluna",
1975.06.14,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,Teatro,O Mais Belo dos Paraísos,Coreografia de Luis Carlos Nogueira,"Sala do Meio, Teatro Ruth Escobar - Rua dos Ingleses, 209, Bela Vista, São Paulo, SP",4351532h.png,Baixo,4351532.png,"Roteiro, Infantis, antepenúltimo item",
1975.06.15,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Primeiro Caderno,Teatro,O Mais Belo dos Paraísos,Coreografia de Luis Carlos Nogueira,"Sala do Meio, Teatro Ruth Escobar - Rua dos Ingleses, 209, Bela Vista, São Paulo, SP",4351730h.png,Baixo,4351730.png,"Roteiro, Infantis, penúltimo item",
1975.06.21,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,Teatro,O Mais Belo dos Paraísos,Coreografia de Luis Carlos Nogueira,"Sala do Meio, Teatro Ruth Escobar - Rua dos Ingleses, 209, Bela Vista, São Paulo, SP",4402266h.png,Baixo,4402266.png,"Roteiro, Infantis, penúltimo item",
1975.06.22,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,Teatro,O Mais Belo dos Paraísos,Coreografia de Luis Carlos Nogueira,"Sala do Meio, Teatro Ruth Escobar - Rua dos Ingleses, 209, Bela Vista, São Paulo, SP",4402657h.png,Baixo,4402657.png,"Roteiro, Infantis, penúltimo item",
1975.06.28,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Primeiro Caderno,Teatro,O Mais Belo dos Paraísos,Coreografia de Luis Carlos Nogueira,"Sala do Meio, Teatro Ruth Escobar - Rua dos Ingleses, 209, Bela Vista, São Paulo, SP",4404140h.png,Baixo,4404140.png,"Terceira coluna geral, antepenultimo item",
